refdes;partname;type;VALUE
R5;3339H-1-103LF;R; 3339H-1-103LF
R6;3339H-1-103LF;R; 3339H-1-103LF
R7;RES_0603_10K_1%;R; RES_0603_10K_1%
R8;RR0816P-301-D;R; RR0816P-301-D
R9;RR0816P-183-D;R; RR0816P-183-D
SW1;CL-SA-12C-02; ; CL-SA-12C-02
SW2;DS04-254-2-06BK-SMT-TR; ; DS04-254-2-06BK-SMT-TR
SW3;FSMSMTR; ; FSMSMTR
TP1;5004; ; 5004
TP10;SMD_Test_Point; ; SMD_Test_Point
TP11;SMD_Test_Point; ; SMD_Test_Point
TP12;SMD_Test_Point; ; SMD_Test_Point
TP13;SMD_Test_Point; ; SMD_Test_Point
TP14;5002; ; 5002
TP15;5000; ; 5000
TP16;5001; ; 5001
TP17;5116; ; 5116
TP18;SMD_Test_Point; ; SMD_Test_Point
TP19;SMD_Test_Point; ; SMD_Test_Point
TP2;SMD_Test_Point; ; SMD_Test_Point
TP20;SMD_Test_Point; ; SMD_Test_Point
TP21;5002; ; 5002
TP22;5119; ; 5119
TP23;5118; ; 5118
TP24;5003; ; 5003
TP25;5119; ; 5119
TP26;5118; ; 5118
TP27;5117; ; 5117
TP28;5117; ; 5117
TP3;5115; ; 5115
TP4;5115; ; 5115
TP5;5004; ; 5004
TP6;5002; ; 5002
TP7;SMD_Test_Point; ; SMD_Test_Point
TP8;SMD_Test_Point; ; SMD_Test_Point
TP9;SMD_Test_Point; ; SMD_Test_Point
U1;NCS2003SN2T1G; ; NCS2003SN2T1G
U10;SN74LV1T125DBVR; ; SN74LV1T125DBVR
U11;MCP6002T-I/SN; ; MCP6002T-I/SN
U2;NCS2003SN2T1G; ; NCS2003SN2T1G
U3;SN74LVC1G04DBVR; ; SN74LVC1G04DBVR
U4;LMV7231SQE/NOPB; ; LMV7231SQE/NOPB
U5;LTC6994CS6-1#TRMPBF; ; LTC6994CS6-1#TRMPBF
U6;SN74LVC2G74DCTR; ; SN74LVC2G74DCTR
U7;SN74AHCT1G32DBVR; ; SN74AHCT1G32DBVR
U8;LTC6994CS6-1#TRMPBF; ; LTC6994CS6-1#TRMPBF
U9;NCS2003SN2T1G; ; NCS2003SN2T1G
